task,directive,feedback_loop,learning,none,task_iteration,validation,not_classified
Accept music requests from event guests.,0.7797,0.1017,0.0,0.0508,0.0678,0.0,0.0
Access computerized financial information to answer general questions as well as those related to specific accounts.,0.8736,0.0579,0.0173,0.0218,0.0263,0.003,0.0
"Act as consultants to agency staff and other community programs regarding the interpretation of program-related federal, state, and county regulations and policies.",0.6543000000000001,0.0206,0.1852,0.0123,0.0412,0.0864,0.0
Adapt instructional content or delivery methods for different levels or types of learners.,0.9,0.0,0.0,0.0333,0.0667,0.0,0.0
Adapt or design computer hardware or software for medical science uses.,0.7212000000000001,0.14550000000000002,0.0,0.0,0.1333,0.0,0.0
Adapt software and accompanying technical documents to another language and culture.,0.9576,0.0054,0.0004,0.0304,0.0058,0.0004,0.0
"Adapt statistical methods to solve specific problems in many fields, such as economics, biology, and engineering.",0.915,0.052300000000000006,0.0196,0.006500000000000001,0.006500000000000001,0.0,0.0
"Adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",1.0,0.0,0.0,0.0,0.0,0.0,0.0
Add new material to file records or create new records as necessary.,0.9118,0.0588,0.0,0.0,0.0294,0.0,0.0
"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.9836,0.0066,0.0,0.0,0.0033,0.0066,0.0
"Adjust coaching techniques, based on the strengths and weaknesses of athletes.",0.33520000000000005,0.4106,0.081,0.050300000000000004,0.0754,0.0475,0.0
Adjust sales scripts to better target the needs and interests of specific individuals.,0.9468000000000001,0.0115,0.0009,0.0028000000000000004,0.035699999999999996,0.0024,0.0
"Adjust settings for format, page layout, line spacing, and other style requirements.",0.8247,0.0452,0.0007000000000000001,0.0132,0.1106,0.005600000000000001,0.0
"Administer standardized tests to research subjects, or interview them to collect research data.",0.4375,0.125,0.0313,0.40630000000000005,0.0,0.0,0.0
"Advertise products and work, using media such as internet advertising and brochures.",0.8948999999999999,0.0441,0.0034000000000000002,0.0407,0.0169,0.0,0.0
Advertise services using media such as internet advertising and brochures.,0.8951,0.0699,0.0,0.035,0.0,0.0,0.0
Advise and teach students.,0.3274,0.1617,0.28800000000000003,0.07690000000000001,0.075,0.071,0.0
"Advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.7561,0.0732,0.122,0.048799999999999996,0.0,0.0,0.0
"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.7104,0.04019999999999999,0.1184,0.0634,0.055,0.0127,0.0
"Advise client on interior design factors, such as space planning, layout and use of furnishings or equipment, and color coordination.",0.5854,0.024399999999999998,0.0,0.024399999999999998,0.36590000000000006,0.0,0.0
Advise clients about proper clothing and shoes.,0.7027,0.08109999999999999,0.08109999999999999,0.013500000000000002,0.1081,0.013500000000000002,0.0
Advise clients about the materials being used for finished products.,0.5,0.0789,0.1316,0.0789,0.21050000000000002,0.0,0.0
"Advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.6557,0.0747,0.08039999999999999,0.024900000000000002,0.1042,0.06,0.0
"Advise clients on aspects of capitalization, such as amounts, sources, or timing.",0.5094,0.1698,0.0943,0.0189,0.2075,0.0,0.0
"Advise clients on financial and legal matters, such as investments and taxes.",0.6518,0.035699999999999996,0.1905,0.0179,0.0565,0.047599999999999996,0.0
"Advise clients on housing matters, such as housing rental, homeownership, mortgage delinquency, or foreclosure prevention.",0.6111,0.23149999999999998,0.0926,0.018500000000000003,0.0463,0.0,0.0
Advise clients on how they could be helped by counseling.,0.5532,0.0213,0.0851,0.3191,0.0,0.0213,0.0
"Advise clients on market conditions, prices, mortgages, legal requirements, and related matters.",0.75,0.0917,0.0333,0.05,0.0667,0.0083,0.0
"Advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.5171,0.1711,0.1368,0.1039,0.0487,0.022400000000000003,0.0
"Advise clients or community groups on issues related to risk or prevention of conditions, such as lead poisoning, human immunodeficiency virus (HIV), prenatal substance abuse, or domestic violence.",0.5926,0.0,0.3333,0.024700000000000003,0.024700000000000003,0.024700000000000003,0.0
"Advise clients or community groups on issues related to sanitation or hygiene, such as flossing or hand washing.",0.5,0.11539999999999999,0.3077,0.07690000000000001,0.0,0.0,0.0
"Advise clients or community groups on issues related to self-care, such as diabetes management.",0.6567000000000001,0.0746,0.209,0.029900000000000003,0.029900000000000003,0.0,0.0
"Advise clients or community groups on issues related to social or intellectual development, such as education, childcare, or problem solving.",0.6483,0.0414,0.1379,0.0897,0.0138,0.069,0.0
"Advise clients or respond to inquiries about financial matters in person or via phone, email, Web site, or Internet chat.",0.7775,0.0558,0.0828,0.0256,0.034300000000000004,0.024,0.0
