task,directive,feedback_loop,learning,none,task_iteration,validation,not_classified
Accept music requests from event guests.,0.3762,0.0693,0.0,0.21780000000000002,0.33659999999999995,0.0,0.0
Access computerized financial information to answer general questions as well as those related to specific accounts.,0.49700000000000005,0.2426,0.06509999999999999,0.0178,0.1716,0.0059,0.0
"Act as consultants to agency staff and other community programs regarding the interpretation of program-related federal, state, and county regulations and policies.",0.1723,0.1159,0.392,0.0184,0.2413,0.0602,0.0
Adapt or design computer hardware or software for medical science uses.,0.19,0.38170000000000004,0.0363,0.0052,0.3851,0.0017000000000000001,0.0
Adapt software and accompanying technical documents to another language and culture.,0.6414,0.08839999999999999,0.0101,0.0076,0.2525,0.0,0.0
"Adapt statistical methods to solve specific problems in many fields, such as economics, biology, and engineering.",0.2664,0.1216,0.3347,0.0068000000000000005,0.2391,0.031400000000000004,0.0
Adapt the quantity of ingredients to match the amount of items to be baked.,0.1714,0.3429,0.0571,0.0,0.4,0.0286,0.0
"Adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.3846,0.0,0.1795,0.0,0.3846,0.0513,0.0
Add new material to file records or create new records as necessary.,0.7593000000000001,0.1559,0.0102,0.0034000000000000002,0.0712,0.0,0.0
"Address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",0.1364,0.2273,0.0455,0.0,0.5,0.0909,0.0
"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.6034,0.0169,0.139,0.0,0.1797,0.061,0.0
"Adjust coaching techniques, based on the strengths and weaknesses of athletes.",0.0553,0.41359999999999997,0.2189,0.0149,0.2034,0.09390000000000001,0.0
"Adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines.",0.6923,0.07690000000000001,0.0,0.07690000000000001,0.15380000000000002,0.0,0.0
Adjust sales scripts to better target the needs and interests of specific individuals.,0.2227,0.0868,0.0177,0.0045000000000000005,0.6512,0.0169,0.0
"Adjust settings for format, page layout, line spacing, and other style requirements.",0.46270000000000006,0.0653,0.0044,0.005,0.4606,0.0019,0.0
"Administer, proctor, or score academic or diagnostic assessments.",0.3611,0.2407,0.1481,0.0278,0.1481,0.0741,0.0
"Advertise products and work, using media such as internet advertising and brochures.",0.6988,0.0602,0.0241,0.012,0.2048,0.0,0.0
Advertise services using media such as internet advertising and brochures.,0.5581,0.13949999999999999,0.0233,0.04650000000000001,0.23260000000000003,0.0,0.0
Advise against injured athletes returning to games or competition if resuming activity could lead to further injury.,0.0375,0.6125,0.2125,0.0125,0.1,0.025,0.0
Advise and teach students.,0.1877,0.0443,0.3628,0.0086,0.3231,0.0736,0.0
"Advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.1341,0.48560000000000003,0.3175,0.0204,0.030600000000000002,0.011899999999999999,0.0
"Advise architects, builders, and other construction personnel on fire prevention equipment and techniques and on fire code and standard interpretation and compliance.",0.36840000000000006,0.10529999999999999,0.4211,0.0,0.10529999999999999,0.0,0.0
Advise athletes on the proper use of equipment.,0.1542,0.1894,0.41409999999999997,0.0176,0.1894,0.0352,0.0
"Advise athletes, trainers, or coaches to alter or cease sports practices that are potentially harmful.",0.08449999999999999,0.5304,0.1858,0.013500000000000002,0.1216,0.0642,0.0
"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.2563,0.1015,0.3081,0.0225,0.2867,0.025,0.0
Advise businesses or agencies on ways to improve fraud detection.,0.34380000000000005,0.0625,0.375,0.0625,0.125,0.0313,0.0
"Advise client on interior design factors, such as space planning, layout and use of furnishings or equipment, and color coordination.",0.3312,0.1018,0.0342,0.0194,0.5032,0.0102,0.0
Advise clients about colors and types of makeup and instruct them in makeup application techniques.,0.34090000000000004,0.0966,0.0795,0.011399999999999999,0.358,0.11359999999999999,0.0
Advise clients about proper clothing and shoes.,0.20579999999999998,0.19949999999999998,0.1336,0.0172,0.3079,0.1359,0.0
Advise clients about the materials being used for finished products.,0.1348,0.1348,0.25980000000000003,0.0204,0.40509999999999996,0.0452,0.0
"Advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.20670000000000002,0.13140000000000002,0.19260000000000002,0.0127,0.39909999999999995,0.0575,0.0
"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.",0.2771,0.1084,0.1566,0.012,0.39759999999999995,0.0482,0.0
"Advise clients on aspects of capitalization, such as amounts, sources, or timing.",0.1946,0.128,0.21,0.0179,0.4213,0.0282,0.0
"Advise clients on financial and legal matters, such as investments and taxes.",0.1727,0.1036,0.45,0.0134,0.2173,0.0431,0.0
"Advise clients on housing matters, such as housing rental, homeownership, mortgage delinquency, or foreclosure prevention.",0.1431,0.2039,0.2937,0.0083,0.32549999999999996,0.0256,0.0
Advise clients on how they could be helped by counseling.,0.1074,0.15560000000000002,0.4481,0.1889,0.0407,0.0593,0.0
"Advise clients on market conditions, prices, mortgages, legal requirements, and related matters.",0.26839999999999997,0.19879999999999998,0.2303,0.0149,0.2577,0.0298,0.0
Advise clients on nail care and use of products and colors.,0.25,0.0625,0.4375,0.0,0.0625,0.1875,0.0
Advise clients on transportation and payment methods.,0.2667,0.2667,0.2667,0.0,0.1333,0.0667,0.0
"Advise clients or colleagues on topics such as climate control systems, energy modeling, data logging, sustainable design, or energy auditing.",0.5,0.0556,0.22219999999999998,0.0,0.19440000000000002,0.0278,0.0
"Advise clients or community groups on issues related to diagnostic screenings, such as breast cancer screening, pap smears, glaucoma tests, or diabetes screenings.",0.20329999999999998,0.065,0.5854,0.0285,0.08539999999999999,0.0325,0.0
"Advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.1868,0.16620000000000001,0.4293,0.0195,0.16149999999999998,0.0368,0.0
"Advise clients or community groups on issues related to risk or prevention of conditions, such as lead poisoning, human immunodeficiency virus (HIV), prenatal substance abuse, or domestic violence.",0.1515,0.067,0.6897,0.024700000000000003,0.0381,0.028900000000000002,0.0
"Advise clients or community groups on issues related to sanitation or hygiene, such as flossing or hand washing.",0.2119,0.1258,0.521,0.0155,0.0265,0.0993,0.0
"Advise clients or community groups on issues related to self-care, such as diabetes management.",0.21280000000000002,0.15460000000000002,0.5247999999999999,0.0213,0.07519999999999999,0.0113,0.0
"Advise clients or community groups on issues related to social or intellectual development, such as education, childcare, or problem solving.",0.2346,0.07719999999999999,0.39289999999999997,0.0212,0.22390000000000002,0.050199999999999995,0.0
Advise clients or community groups to ensure parental understanding of the importance of childhood immunizations and how to access immunization services.,0.25,0.0385,0.6154,0.0192,0.057699999999999994,0.0192,0.0
"Advise clients or respond to inquiries about financial matters in person or via phone, email, Web site, or Internet chat.",0.1953,0.14880000000000002,0.3892,0.013600000000000001,0.21030000000000001,0.042800000000000005,0.0
Advise corporations on issues involving corporate image projects or problems.,0.18420000000000003,0.07139999999999999,0.0451,0.0226,0.6164999999999999,0.0602,0.0
"Advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters.",0.2792,0.1291,0.37170000000000003,0.0175,0.1728,0.0297,0.0
Advise customers on product usage to improve production.,0.15560000000000002,0.3258,0.29350000000000004,0.0137,0.17420000000000002,0.037200000000000004,0.0
Advise customers on substitution or modification of parts when identical replacements are not available.,0.14300000000000002,0.28600000000000003,0.1566,0.0128,0.3616,0.0401,0.0
Advise customers on use and care of merchandise.,0.2772,0.20629999999999998,0.36329999999999996,0.0161,0.0877,0.049400000000000006,0.0
Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,0.2901,0.1821,0.2284,0.037000000000000005,0.2346,0.0278,0.0
Advise industries or government agencies about environmental policies and standards.,0.4211,0.0,0.2632,0.0,0.31579999999999997,0.0,0.0
Advise internal management or business partners on the implementation or operation of compliance programs.,0.19940000000000002,0.136,0.2921,0.0155,0.3184,0.038599999999999995,0.0
"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",0.15869999999999998,0.20079999999999998,0.38520000000000004,0.0138,0.204,0.0375,0.0
"Advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.21989999999999998,0.11720000000000001,0.2116,0.04650000000000001,0.35100000000000003,0.053899999999999997,0.0
Advise management on matters related to the administration of contracts or employee discipline or grievance procedures.,0.1867,0.1506,0.1747,0.0181,0.4096,0.0602,0.0
"Advise management on organizing, preparing, or implementing recruiting or retention programs.",0.2995,0.0821,0.1401,0.028999999999999998,0.43479999999999996,0.014499999999999999,0.0
"Advise management on short-term and long-term financial objectives, policies, and actions.",0.1943,0.1341,0.1564,0.019,0.4705,0.025699999999999997,0.0
"Advise management on such matters as equal employment opportunity, sexual harassment, and discrimination.",0.2115,0.1923,0.2788,0.0,0.25,0.0673,0.0
"Advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures, and classification programs.",0.25079999999999997,0.0868,0.34409999999999996,0.0161,0.2797,0.0225,0.0
"Advise managers on organizational policy matters, such as equal employment opportunity and sexual harassment, and recommend needed changes.",0.1714,0.1306,0.22039999999999998,0.0163,0.4082,0.053099999999999994,0.0
Advise or assist in obtaining patents or meeting other legal requirements.,0.16829999999999998,0.19899999999999998,0.2104,0.0129,0.34299999999999997,0.0663,0.0
"Advise or inform guardians, relatives, or significant others of patients' conditions or treatment.",0.1456,0.2913,0.534,0.0,0.0291,0.0,0.0
"Advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.2152,0.1013,0.557,0.0253,0.038,0.0633,0.0
