task_name,pct
Evaluate new technologies and methods to make recommendations regarding their use.,0.52
Enter data into computers for use in analyses or reports.,0.11
"Initiate, facilitate, and moderate classroom discussions.",0.07
"Recommend necessary corrective actions, based on inspection results.",0.13
Develop Web sites.,0.52
"Formulate mathematical or simulation models of problems, relating constants and variables, restrictions, alternatives, conflicting objectives, and their numerical parameters.",0.05
"Correct or record omissions, errors, or inconsistencies found.",0.11
"Integrate and develop visual elements, such as line, space, mass, color, and perspective, to produce desired effects, such as the illustration of ideas, emotions, or moods.",0.13
Answer questions about product features and benefits.,0.35
"Prepare or organize online storefront marketing material, including product descriptions or subject lines, optimizing content to search engine criteria.",0.21
"Edit, standardize, or make changes to material prepared by other writers or establishment personnel.",1.06
"Advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.26
Monitor or analyze market and environmental trends.,0.11
Provide customers with ongoing technical support.,0.05
"Analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",0.09
"Provide consulting services, including educational programs, outreach programs, or prevention talks to schools, social service agencies, businesses, or the general public.",0.08
"Gather data on competitors and analyze their prices, sales, and method of marketing and distribution.",0.09
Plan programs of events or schedules of activities.,0.06
Conduct quality analyses of data inputs and resulting analyses or predictions.,0.08
Analyze user needs to determine technical requirements.,0.06
"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.",0.05
"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",0.1
"Review existing or incoming data for currency, accuracy, usefulness, quality, or completeness of documentation.",0.06
"Maintain or update business intelligence tools, databases, dashboards, systems, or methods.",0.15
"Obtain, organize, or develop training procedure manuals, guides, or course materials, such as handouts or visual materials.",0.11
"Develop teaching or training materials, such as handouts, study materials, or quizzes.",0.98
Locate unusual or unique information in response to specific requests.,0.45
Create developmentally appropriate lesson plans.,0.06
"Interpret laws, rulings and regulations for individuals and businesses.",0.24
"Analyze test data to diagnose malfunctions, to determine performance characteristics of systems, or to evaluate effects of system modifications.",0.06
"Perform financial calculations, such as amounts due, interest charges, balances, discounts, equity, and principal.",0.26
"Identify problems uncovered by testing or customer feedback, and correct problems or refer problems to appropriate personnel for correction.",0.35
"Educate athletes or coaches on techniques to improve athletic performance, such as heart rate monitoring, recovery techniques, hydration strategies, or training limits.",0.11
"Answer customers' questions about products, prices, availability, or credit terms.",0.21
"Design and edit promotional publications, such as brochures.",0.09
Expand or modify system to serve new purposes or improve work flow.,0.05
Develop or direct development of offering documents or marketing materials.,0.09
"Research and apply innovative solutions for product design, visuals, and user experience to meet the needs of individual Web development projects.",0.3
"Prepare reports of findings, illustrating data graphically and translating complex findings into written text.",0.05
Confer with customers to assess customer needs or obtain feedback.,0.07
Prepare reports to provide answers in response to specific problems.,0.21
Develop application-specific software.,0.06
"Provide technical support for existing reports, dashboards, or other tools.",0.05
"Create, analyze, report, convert, or transfer data, using specialized applications program software.",0.15
"Write articles, bulletins, sales letters, speeches, and other related informative, marketing and promotional material.",0.17
"Recommend products to customers, based on customers' needs and interests.",1.28
"Inform athletes about nutrition, hydration, dietary supplements, or uses and possible consequences of medication.",0.05
Develop new software applications or customize existing applications to meet specific scientific project needs.,0.17
Perform or direct Web site updates.,0.06
Write or edit copy for clients.,0.97
Ask questions that will help clients identify their feelings and behaviors.,0.21
"Describe merchandise and explain use, operation, and care of merchandise to customers.",0.16
"Evaluate and grade students' class work, assignments, and papers.",0.05
Provide application or analytical support to researchers or traders on issues such as valuations or data.,0.08
Coach client representatives in effective communication with the public or with employees.,0.05
Analyze and interpret data to increase the understanding of human social behavior.,0.13
"Check completed work for spelling, grammar, punctuation, and format.",0.08
"Investigate system component suitability for specified purposes, and make recommendations regarding component use.",0.06
"Translate messages simultaneously or consecutively into specified languages, orally or by using hand signs, maintaining message content, context, and style as much as possible.",0.37
Present clear and concise explanations of governing rules and regulations.,0.28
"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",0.09
Review technical documents to ensure completeness and conformance to requirements.,0.21
"Write original or adapted material for dramas, comedies, puppet shows, narration, or other performances.",0.12
Compose explanatory summaries of contents of books and other reference materials.,0.09
"Counsel clients on concerns, such as unsatisfactory relationships, divorce and separation, child rearing, home management, or financial difficulties.",0.28
Prepare responses to correspondence containing routine inquiries.,0.05
"Plan, prepare, and develop various teaching aids, such as bibliographies, charts, and graphs.",0.05
"Answer customers' questions, and provide information on procedures or policies.",0.82
"Develop or update project plans including information such as objectives, technologies, schedules, funding, and staffing.",0.1
Write and edit video and scripts for broadcasts.,0.06
Advise and teach students.,0.17
"Plan and develop pre-production ideas into outlines, scripts, story boards, and graphics, using own ideas or specifications of assignments.",0.06
"Position text and art elements from a variety of databases in a visually appealing way to design print or web pages, using knowledge of type styles and size and layout patterns.",0.11
"Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.",0.11
"Develop transactional Web applications, using Web programming software and knowledge of programming languages, such as hypertext markup language (HTML) and extensible markup language (XML).",0.17
Develop concepts or creative ideas for craft objects.,0.05
"Write commentaries, columns, or scripts, using computers.",0.13
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.13
Emphasize or recommend service features based on knowledge of customers' needs and vendor capabilities and limitations.,0.13
"Apply relevant laws, regulations, policies, or precedents to reach conclusions.",0.05
"Create or distribute offline promotional material, such as brochures, pamphlets, business cards, stationary, or signage.",0.13
"Develop exercise programs to improve participant strength, flexibility, endurance, or circulatory functioning, in accordance with exercise science standards, regulatory requirements, and credentialing requirements.",0.05
"Provide staff and users with assistance solving computer-related problems, such as malfunctions and program problems.",0.71
"Answer customers' questions about products, prices, availability, product uses, and credit terms.",0.07
"Counsel and provide guidance to students regarding personal, academic, vocational, or behavioral issues.",0.26
"Care for individuals or families during periods of incapacitation, family disruption, or convalescence, providing companionship, personal care, or help in adjusting to new lifestyles.",0.07
"Provide advice to clients on a contract basis, working as a consultant.",0.07
Answer customers' questions about merchandise and advise customers on merchandise selection.,0.05
"Advise clients or respond to inquiries about financial matters in person or via phone, email, Web site, or Internet chat.",1.37
"Prepare or review reports, manuscripts, or meeting presentations.",0.12
Develop training programs or routines designed to improve athletic performance.,0.05
"Recommend financial products, such as stocks, bonds, mutual funds, or insurance.",0.05
"Verify facts, dates, and statistics, using standard reference sources.",0.08
"Write and execute scripts to automate tasks, such as parsing large data files.",0.21
"Counsel patients about nutrition, exercise, sleeping habits, stress management, or other matters.",0.16
Provide individual support or counseling in general wellness or nutrition.,0.2
Create specialty dishes and develop recipes to be used in dining facilities.,0.08
Teach classes or courses to students.,0.23
"Apply mathematical theories and techniques to the solution of practical problems in business, engineering, the sciences, or other fields.",0.76
"Identify key risks and mitigating factors of potential investments, such as asset types and values, legal and ownership structures, professional reputations, customer bases, or industry segments.",0.06
"Evaluate existing systems to determine effectiveness, and suggest changes to meet organizational requirements.",0.08
"Prepare invoices, reports, memos, letters, financial statements, and other documents, using word processing, spreadsheet, database, or presentation software.",0.15
Analyze existing development or manufacturing procedures and suggest improvements.,0.13
"Reformat documents, moving paragraphs or columns.",0.15
Review manuscripts for publication in books and professional journals.,0.08
Provide feedback and recommendations to developers on software usability and functionality.,0.07
"Adjust settings for format, page layout, line spacing, and other style requirements.",0.46
"Write advertising material for use by publication, broadcast, or internet media to promote the sale of goods and services.",0.14
Write program code to analyze data with statistical analysis software.,0.05
Provide training and support to system designers and users.,0.77
"Provide private instruction to individual or small groups of students to improve academic performance, improve occupational skills, or prepare for academic or occupational tests.",0.19
"Create graphs, charts, or other visualizations to convey the results of data analysis using specialized software.",0.36
"Respond to user email inquiries, or set up automated systems to send responses.",0.08
"Observe and evaluate students' work to determine progress, provide feedback, and make suggestions for improvement.",0.07
"Assess the needs and interests of individuals and groups and plan activities accordingly, given the available equipment or facilities.",0.07
Compile and analyze test information to determine process or equipment operating efficiency or to diagnose malfunctions.,0.06
Prepare and review operational reports or project progress reports.,0.12
"Identify, analyze, and document problems with program function, output, online screen, or content.",0.91
"Study the objectives, promotional policies, or needs of organizations to develop public relations strategies that will influence public opinion or promote ideas, products, or services.",0.06
"Explain products or services and prices, and answer questions from customers.",0.23
"Create supporting documentation, such as metadata and diagrams of entity relationships, business processes, and process flow.",0.07
"Prepare sample layouts for approval, using computer software.",0.07
Participate in the development of product specifications.,0.16
"Modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",0.19
"Plan project arrangements or outlines, and organize material accordingly.",0.15
"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",0.06
"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",0.22
"Counsel individuals and groups on basic rules of good nutrition, healthy eating habits, and nutrition monitoring to improve their quality of life.",0.11
"Archive documents, conduct research, and read copy, using the internet and various computer programs.",0.28
Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,0.33
Provide users with technical support for computer problems.,0.3
"Advise patients and their families on nutritional principles, dietary plans, diet modifications, and food selection and preparation.",0.08
"Prepare plans of action for investment, using financial analyses.",0.07
Write supporting code for Web applications or Web sites.,0.51
"Select material most pertinent to presentation, and organize this material into appropriate formats.",0.66
"Advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.26
"Document design specifications, installation instructions, and other system-related information.",0.06
"Prepare or edit organizational publications, such as employee newsletters or stockholders' reports, for internal or external audiences.",0.16
"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",0.15
"Convert various types of files for printing or for the Internet, using computer software.",0.22
"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures.",0.09
"Emphasize product features, based on analyses of customers' needs and on technical knowledge of product capabilities and limitations.",0.05
"Instruct customers in the installation, repair, or maintenance of products.",0.05
"Report results of statistical analyses, including information in the form of graphs, charts, and tables.",0.07
"Review written, audio, or video copy, and correct errors in content, grammar, or punctuation, following prescribed editorial style and formatting guidelines.",0.29
"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",0.18
Prepare requirements documentation for use by software developers.,0.08
Adjust sales scripts to better target the needs and interests of specific individuals.,0.22
"Plan and develop programs, agendas, budgets, and services according to customer requirements.",0.07
"Answer customers' questions about services, prices, availability, or credit terms.",0.09
"Initiate, facilitate, and moderate class discussions.",0.06
"Inform students of the procedures for completing and submitting class work, such as lab reports.",0.06
"Advise clients on financial and legal matters, such as investments and taxes.",0.11
"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve.",0.1
Assist students who need extra help with their coursework outside of class.,0.18
"Read written materials, such as legal documents, scientific works, or news reports, and rewrite material into specified languages.",0.47
"Conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors.",0.05
Analyze problems to develop solutions involving computer hardware and software.,0.05
Design instructional aids for stand-alone or instructor-led classroom or online use.,0.12
Analyze system performance or operational requirements.,0.09
Prepare appropriate formatting to data sets as requested.,0.06
Provide technical support or instruction to staff or customers regarding electronics equipment standards.,0.12
Advise patients about recommended courses of treatment.,0.16
Revise work to meet editorial approval or to fit time or space requirements.,0.4
Provide technical support to computer users for installation and use of security products.,0.05
"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.12
Implement online customer service processes to ensure positive and consistent user experiences.,0.08
"Advise students on issues such as course selection, progress toward graduation, and career decisions.",0.41
"Find, retrieve, and make copies of information from files in response to requests and deliver information to authorized users.",0.07
"Review work procedures and operational problems to determine ways to improve service, performance, or safety.",0.05
"Diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",0.05
"Prepare data analysis listings and activity, performance, or progress reports.",0.07
"Interpret engineering sketches, specifications, or drawings.",0.12
"Explain treatment procedures, medications, diets, or physicians' instructions to patients.",0.07
"Identify relationships and trends in data, as well as any factors that could affect the results of research.",0.06
"Conduct reference searches, using printed materials and in-house and online databases.",1.38
"Create, maintain, and enter information into databases.",0.25
"Develop and organize training manuals, multimedia visual aids, and other educational materials.",0.19
"Verify the accuracy and validity of data entered in databases, correcting any errors.",0.07
Analyze problems and take appropriate action to ensure continuous and reliable operation of equipment and systems.,0.45
"Prepare, edit, or review legal documents, including legislation, briefs, pleadings, appeals, wills, contracts, and real estate closing statements.",0.13
"Direct and execute pre-production activities, such as creating moodboards or storyboards and establishing a project timeline.",0.09
"Answer inquiries regarding information, such as schedules, accommodations, procedures, or policies.",0.06
Recommend new systems and processes to improve operations.,0.07
"Compile and study occupational, educational, and economic information to assist counselees in determining and carrying out vocational and educational objectives.",0.09
Develop new visual design concepts and modify concepts based on stakeholder feedback.,0.39
"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",0.05
Analyze or synthesize client data to draw conclusions or make recommendations for therapy.,0.05
Prepare or alter presentation contents to target specific audiences.,0.35
"Compose descriptions of merchandise for posting to online storefront, auction sites, or other shopping Web sites.",0.09
Write copy as part of layout.,0.09
"Advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.08
"Observe the current system in operation, and gather and analyze information about each of the component problems, using a variety of sources.",0.09
"Encourage clients to express their feelings and discuss what is happening in their lives, helping them to develop insight into themselves or their relationships.",0.34
"Work with technical material, preparing statistical reports, planning and typing statistical tables, and combining and rearranging material from different sources.",0.06
"Provide scientific or technical guidance or expertise to scientists, engineers, technologists, technicians, or others, using knowledge of chemical, analytical, or biological processes as applied to micro and nanoscale systems.",0.05
"Determine a published or broadcasted story's emphasis, length, and format, organizing material accordingly.",0.09
Tutor or mentor students who need additional instruction.,0.17
"Create or interpret engineering drawings, schematic diagrams, formulas, or blueprints for management or engineering staff.",0.07
"Edit or rewrite existing written material as necessary, and submit written material for approval by supervisor, editor, or publisher.",0.94
"Provide information and advice regarding drug interactions, side effects, dosage, and proper medication storage.",0.13
Identify quality problems or areas for improvement and recommend solutions.,0.19
Answer students' questions.,1.15
Write articles and books.,0.34
"Design research projects that apply valid scientific techniques, and use information obtained from baselines or historical data to structure uncompromised and efficient analyses.",0.05
"Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.",0.23
"Conduct searches to find needed information, using such sources as the Internet.",0.1
Answer questions that patients have about their health and well-being.,0.81
Evaluate data pertaining to costs to plan budgets.,0.06
"Use nondisciplinary tools and equipment, such as a computer.",0.18
Issue notices and recommend corrective actions when infractions or problems are found.,0.1
"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.",0.44
"Develop, present, or respond to proposals for specific customer requirements, including request for proposal responses and industry-specific solutions.",0.05
Write original literary pieces.,0.06
"Develop system engineering, software engineering, system integration, or distributed system architectures.",0.05
"Discuss use and features of various parts, based on knowledge of machines or equipment.",0.05
"Prepare or interpret for clients information, such as investment performance reports, financial document summaries, or income projections.",0.15
"Research, compile, and prepare reports, manuals, correspondence, or other information required by management or governmental agencies.",0.12
"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",0.61
"Consult with researchers to analyze problems, recommend technology-based solutions, or determine computational strategies.",0.12
Tutor or assist students individually or in small groups.,0.2
Troubleshoot program and system malfunctions to restore normal functioning.,0.93
"Interact with clients to assist them in gaining insight, defining goals, and planning action to achieve effective personal, social, educational, or vocational development and adjustment.",0.39
Write new functions or applications in programming languages to conduct analyses.,0.12
"Electronically sort and compile text and numerical data, retrieving, updating, and merging documents as required.",0.35
Analyze experimental data and interpret results to write reports and summaries of findings.,0.05
"Sort or classify information according to guidelines, such as content, purpose, user criteria, or chronological, alphabetical, or numerical order.",0.07
Advise students on academic and vocational curricula and on career issues.,0.07
Synthesize current business intelligence or trend data to support recommendations for action.,0.06
Write technical documentation for products.,0.09
"Write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",1.47
Suggest specific product purchases to meet customers' needs.,0.49
"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",0.1
Vary language and tone of messages based on product and medium.,0.2
"Lead discussion sections, tutorials, or laboratory sections.",0.12
"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",0.28
"Write words to fit musical compositions, including lyrics for operas, musical plays, and choral works.",0.05
"Provide guests with information about local areas, including directions.",0.17
"Search standard reference materials, including online sources and the Internet, to answer patrons' reference questions.",3.74
Provide individualized instruction and tutorial or remedial instruction.,0.18
"Write to customers in their terms and on their level so that the script, story, or advertisement message is more readily received.",0.07
"Educate patients regarding treatment plans, physiological reactions to treatment, or post-treatment care.",0.16
Review documents written by others.,0.05
"Recommend actions to ensure compliance with laws and regulations, or to protect solvency of institutions.",0.06
Prepare two-dimensional concept layouts or three-dimensional mock-ups.,0.16
"Prepare evaluations of software or hardware, and recommend improvements or upgrades.",0.07
"Develop manuals, texts, workbooks, or related materials for use in conjunction with production materials or for training.",0.23
Recommend and provide advice on a wide variety of products and services.,2.25
Review operational records and reports to project sales and determine profitability.,0.06
Participate in the preparation of reports or scientific publications.,0.12
"Compute and analyze data, using statistical formulas and computers or calculators.",0.27
"Compute figures such as balances, totals, or commissions.",0.18
Compile and interpret results of tests and analyses.,0.24
"Prepare and maintain logs, reports, or other documentation of work performed.",0.21
Write reports.,0.11
"Provide technical and non-technical support and services to clients or other staff members regarding the use, operation, and maintenance of equipment.",0.12
"Develop or revise business plans for online business, emphasizing factors such as product line, pricing, inventory, or marketing strategy.",0.08
Prepare meeting agendas or packets of related information.,0.1
Prepare reports and document project activities and data.,0.05
"Collect information about individuals or clients, using interviews, case histories, observational techniques, and other assessment methods.",0.06
Communicate likely outcomes of medical diseases or traumatic conditions to patients or their representatives.,0.08
"Review files, records, and other documents to obtain information to respond to requests.",0.7
"Prepare students for performances, exams, or assessments.",0.2
"Organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology.",0.54
"Interpret and explain information such as eligibility requirements, application details, payment methods, and applicants' legal rights.",0.05
"Write text, such as stories, articles, editorials, or newsletters.",0.78
Assist customers by providing information and resolving their complaints.,0.08
Study and analyze information about alternative courses of action to determine which plan will offer the best outcomes.,0.09
"Review or update Web page content or links in a timely manner, using appropriate tools.",0.06
"Prepare reports summarizing operational results, financial performance, or accomplishments of specified objectives, goals, or plans.",0.06
"Demonstrate equipment to customers and explain its use, responding to any inquiries or complaints.",0.08
"Advise students on course selection, career decisions, and other academic and vocational concerns.",0.05
Recommend changes that could improve service and increase operational efficiency.,0.09
"Prepare reports or correspondence concerning project specifications, activities, or status.",0.05
"Modify and refine designs, using working models, to conform with customer specifications, production limitations, or changes in design trends.",0.1
Train users and answer questions.,0.06
Monitor system operation to detect potential problems.,0.07
"Compose business correspondence for supervisors, managers, and professionals.",0.76
"Counsel individuals regarding interpersonal, health, financial, or religious problems.",0.73
"Confer with users to analyze, configure, or troubleshoot applications.",0.64
"Counsel individuals or groups concerning their spiritual, emotional, or personal needs.",0.09
"Search electronic sources, such as databases or repositories, or manual sources for information.",4.95
Provide technical customer service.,0.19
Compile and format image data to increase its usefulness.,0.12
"Develop teaching materials, such as syllabi, visual aids, answer keys, supplementary notes, or course Web sites.",0.21
"Provide information, such as directions, visiting hours, or patient status information to visitors or callers.",0.33
"Develop factors such as themes, plots, characterizations, psychological analyses, historical environments, action, and dialogue to create material.",0.49
Provide technical guidance or support for the development or troubleshooting of systems.,0.48
Answer user inquiries regarding computer software or hardware operation to resolve problems.,1.98
"Prepare objectives, outlines, or other materials for courses of study, following curriculum guidelines or requirements.",0.07
"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.",0.07
Provide technical direction to other engineers or engineering support personnel.,0.22
"Track and analyze factors that affect price movement, such as trade policies, weather conditions, political developments, or supply and demand changes.",0.07
Write instructional articles on designated subjects.,0.07
"Answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",0.56
Compile and record operational data on forms or in log books.,0.13
"Correct testing-identified problems, or recommend actions for their resolution.",0.05
"Counsel patients about drug regimens and possible side effects or interactions with other substances, such as food supplements, over-the-counter (OTC) medications, or herbal remedies.",0.07
"Counsel individuals or groups to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations.",0.06
Mentor others on mathematical techniques.,0.15
"Prepare, draft, and review legal documents, such as wills, deeds, patent applications, mortgages, leases, and contracts.",0.08
"Retrieve electronic assets from repository for distribution to users, collecting and returning to repository, if necessary.",0.06
Explain medical instructions to patients or family members.,0.08
Develop program plans for individuals or assist in plan development.,0.09
"Monitor changes affecting supply and demand, tracking market conditions, price trends, or futures markets.",0.05
"Interpret and explain laws and regulations to travelers, prospective immigrants, shippers, and manufacturers.",0.05
"Edit graphics and photos, using pixel or bitmap editing, airbrushing, masking, or image retouching.",0.14
"Perform complex calculations as part of the analysis and evaluation of data, using computers.",0.1
"Develop story or content ideas, considering reader or audience appeal.",0.75
"Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",0.06
Design and implement efforts to publicize events and promote sponsorships.,0.05
"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",0.2
Develop or maintain internal or external company Web sites.,0.09
"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",0.18
"Select and edit documents for publication and display, applying knowledge of subject, literary expression, and presentation techniques.",0.09
"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",0.35
"Write fiction or nonfiction prose, such as short stories, novels, biographies, articles, descriptive or critical analyses, and essays.",0.45
Compose and edit scripts or provide screenwriters with story outlines from which scripts can be written.,0.06
Advise customers on use and care of merchandise.,0.46
"Analyze research data to determine its significance, using computers.",0.08
Diagnose problems with installed equipment.,0.42
"Choose subject matter and suitable form to express personal feelings and experiences or ideas, or to narrate stories or events.",0.17
"Examine documents, materials, or products and monitor work processes to assess completeness, accuracy, and conformance to standards and specifications.",0.14
Analyze data to determine answers to questions from customers or members of the public.,0.29
"Recommend, select, and help locate or obtain merchandise based on customer needs and desires.",0.22
Answer telephone calls and respond to inquiries or transfer calls.,0.1
Write research papers for publication in scientific journals.,0.05
"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",0.06
Recommend ways to control or reduce risk.,0.11
"Recommend investments and investment timing to companies, investment firm staff, or the public.",0.07
"Develop instructional materials, such as lesson plans, handouts, or examinations.",0.61
Provide user support by diagnosing network and device problems and implementing technical or procedural solutions.,0.08
"Counsel individuals, groups, or families to help them understand problems, deal with crisis situations, define goals, and develop realistic action plans.",0.16
"Revise written material to meet personal standards and to satisfy needs of clients, publishers, directors, or producers.",0.74
"Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.",0.07
Develop sales presentations or proposals to explain service specifications.,0.07
"Write and review grant proposals, journal articles, institutional reports, and publicity materials.",0.07
"Write humorous material for publication, or for performances such as comedy routines, gags, and comedy shows.",0.07
Develop strategies to advertise green products or merchandise to consumers.,0.0
"Obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance.",0.0
Counsel and encourage patients to develop leisure activities.,0.0
Provide feedback to design engineers on customer problems or needs.,0.0
"Compile statistics from source materials, such as production or sales records, quality-control or test records, time sheets, or survey sheets.",0.0
"Adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines.",0.0
Compile and analyze credit information gathered by investigation.,0.0
Compile and analyze accounting records and other data to determine the financial resources required to implement a program.,0.0
Prepare working sketches for the illustration of product appearance.,0.0
"Interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.",0.0
"Teach individual and team sports to participants through instruction and demonstration, using knowledge of sports techniques and of participants' physical capabilities.",0.0
"Determine procedures and instructions to be followed, according to design specifications and quantity of required materials.",0.0
"Inspect condition of premises, and arrange for necessary maintenance or notify owners of maintenance needs.",0.0
"Grade, classify, or sort products according to sizes, weights, colors, or other specifications.",0.0
"Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.",0.0
Evaluate data processing proposals to assess project feasibility and requirements.,0.0
