task,directive,feedback_loop,learning,none,not_classified,task_iteration,validation
access computerized financial information to answer general questions as well as those related to specific accounts.,0.7857142857142857,,,,0.21428571428571427,,
"accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",,,,,1.0,,
act as a liaison between a ship's captain and shore personnel to ensure that schedules and budgets are maintained and that the ship is operated safely and efficiently.,,,,,1.0,,
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.7924528301886792,,,,0.20754716981132082,,
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.94,,,,0.06,,
adapt instructional content or delivery methods for different levels or types of learners.,0.8496732026143791,,,,0.0457516339869281,0.1045751633986928,
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.7058823529411765,,,,0.29411764705882354,,
adapt text to accommodate musical requirements of composers and singers.,0.8095238095238095,,,,0.19047619047619047,,
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.9830508474576273,,,,0.01694915254237288,,
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.8187772925764192,,0.05458515283842795,,0.05895196506550218,,0.06768558951965066
"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",0.6774193548387096,,,,0.3225806451612903,,
administer construction contracts.,0.8571428571428571,,,,0.14285714285714285,,
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.6533333333333333,0.07,,0.11333333333333333,0.016666666666666666,0.07666666666666666,0.07
"administer highway planning, construction, or maintenance.",0.9565217391304348,,,,0.043478260869565216,,
administer online purchasing systems.,0.8784029038112523,0.020871143375680582,0.018148820326678767,0.060798548094373864,0.008166969147005444,,0.013611615245009074
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,,,,,1.0,,
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",,,,,1.0,,
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.6538461538461539,,,,0.34615384615384615,,
"administer, proctor, or score academic or diagnostic assessments.",0.5330073349633252,,0.08557457212713937,0.09290953545232274,0.009779951100244499,,0.2787286063569682
advise and teach students.,,,,,1.0,,
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.5633802816901409,,,0.2253521126760564,0.2112676056338028,,
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",,,,,1.0,,
