task,directive,feedback_loop,learning,none,not_classified,task_iteration,validation
"accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",,,,,1.0,,
act as advisers to student organizations.,0.3877551020408163,,,,0.14285714285714285,0.46938775510204084,
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.32352941176470584,,,,0.1176470588235294,0.5588235294117647,
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.33783783783783783,,,,0.12162162162162163,0.5405405405405406,
act as liaisons between on-site managers or tenants and owners.,0.3846153846153847,,,,0.10256410256410256,0.5128205128205128,
adapt instructional content or delivery methods for different levels or types of learners.,0.4615384615384615,,,,0.06837606837606838,0.47008547008547,
adapt software and accompanying technical documents to another language and culture.,,,,,1.0,,
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.5,,,,0.05357142857142857,0.44642857142857145,
adapt text to accommodate musical requirements of composers and singers.,0.4032258064516129,,,,0.05913978494623656,0.5376344086021505,
adapt the quantity of ingredients to match the amount of items to be baked.,0.313953488372093,,,,0.3023255813953488,0.38372093023255816,
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.7564102564102564,,,,0.02564102564102564,0.21794871794871798,
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",,,,,0.5897435897435898,0.41025641025641024,
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",,,,,1.0,,
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.5370548604427334,0.02598652550529355,0.2608277189605389,,0.009624639076034648,0.10779595765158806,0.05871029836381136
"adjust apertures, shutter speeds, and camera focus based on a combination of factors such as lighting, field depth, subject motion, film type, and film speed.",,,,,1.0,,
"adjust coaching techniques, based on the strengths and weaknesses of athletes.",,,,,1.0,,
adjust navigation according to weather conditions.,,,,,1.0,,
"adjust or replace defective or improperly functioning circuitry or electronics components, using hand tools or soldering iron.",,0.59375,,,0.40625,,
adjust sales scripts to better target the needs and interests of specific individuals.,0.23404255319148937,,,,0.1773049645390071,0.5886524822695035,
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",,,,,1.0,,
"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",,,,,1.0,,
administer construction contracts.,0.4411764705882353,,,,0.5588235294117647,,
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.4659090909090909,,,,0.3181818181818182,0.2159090909090909,
"administer highway planning, construction, or maintenance.",0.3090909090909091,,,,0.3818181818181819,0.3090909090909091,
administer online purchasing systems.,0.36363636363636365,0.16363636363636364,0.2772727272727273,,0.06363636363636363,0.1318181818181818,
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,0.4418604651162791,,,,0.5581395348837209,,
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",0.24299065420560748,,0.5700934579439252,,0.18691588785046728,,
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.1761904761904762,,0.5952380952380952,,0.10952380952380952,0.11904761904761903,
"administer, proctor, or score academic or diagnostic assessments.",0.6115702479338843,,0.11570247933884298,,0.024793388429752067,0.07024793388429752,0.17768595041322313
advise and instruct teachers employed in school systems by providing activities such as in-service seminars.,,,,,1.0,,
advise and teach students.,0.2654028436018957,,0.06635071090047394,0.035545023696682464,0.016587677725118485,0.490521327014218,0.12559241706161137
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.1897435897435897,0.1948717948717949,0.517948717948718,,0.005128205128205127,0.038461538461538464,0.05384615384615385
advise athletes on the proper use of equipment.,,,0.64,,0.36,,
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.2830188679245283,,0.45283018867924535,,0.2641509433962264,,
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",0.2052238805970149,0.055970149253731345,0.2574626865671642,,0.01865671641791045,0.38432835820895517,0.07835820895522388
advise clients about colors and types of makeup and instruct them in makeup application techniques.,0.22058823529411764,,,,0.4117647058823529,0.36764705882352944,
advise clients about proper clothing and shoes.,,,,,1.0,,
